# computational domain and measurement data
data;
param domain := 1            0 2            2 3            0 4            1;
param K :=          200;
           83   0.09279256     1.479081    0.1316927 
           84    0.1685616     1.735767    0.6492601 
           85    0.1028119     1.083633    0.8443735 
           86  0.003190122   0.02920093    0.9733951 
           87  0.007561084    0.9010673   0.05244916 
           88    0.2156669     1.419963    0.3876543 
           89   0.06025058     1.445532   0.03268933 
           90   0.06827194     1.674722    0.1247118 
           91    0.1862662    0.2744098    0.4376168 
           92     0.160476     1.374281    0.2696677 
           93    0.1728505    0.2397645    0.4701971 
           94    0.1420622     1.317208    0.7166892 
           95    0.2017563     1.700096     0.494137 
           96    0.2657077    0.4824137    0.3395674 
           97   0.03442347     1.772339    0.8893033 
           98   0.04242791     0.857243    0.8756363 
           99  0.008816671     1.276249   0.04659549 
          100    0.1304268      1.35356    0.6151372 
          101    0.1130367    0.1994084    0.5729004 
          102    0.1195504     1.782959    0.7079188 
          103   0.05745492    0.3014388    0.2759603 
          104    0.1177408    0.2838078    0.3121614 
          105    0.1110995     0.190999    0.5862958 
          106    0.1602831     1.356175    0.5940418 
          107    0.1673975     1.583171    0.6201759 
          108    0.1969259    0.7487091     0.556695 
          109   0.05606294     1.510976  0.004866239 
          110  0.007138264    0.3260863    0.9457112 
          111   0.01764094    0.6158919    0.8468018 
          112    0.2882287    0.6161103    0.3154248 
          113   0.03755705     1.191863   0.06579868 
          114    0.1529588     1.895742    0.6857105 
          115  -0.02530606    0.3174382    0.1935445 
          116 -0.005659515    0.5603408    0.8978779 
          117   0.04518055     1.011094    0.1233802 
          118    0.1922473    0.7965348    0.5495492 
          119   0.03289968     0.796232   0.09157589 
          120   0.01098655    0.1168548   0.03403166 
          121 -0.006452974    0.7872974    0.8773672 
          122   0.00780204    0.7028094    0.0862064 
          123   0.01645046    0.3563351    0.7535402 
          124    0.1434532     0.509145    0.6293269 
          125  0.004015789    0.1166125   0.07192868 
          126   0.03654189    0.4721813    0.7432588 
          127  -0.01226597    0.3808918   0.08259608 
          128    0.1530143     1.474406    0.2276193 
          129   0.04887276     1.923963    0.8652405 
          130   0.07392391     1.698954    0.9133734 
          131 -0.008370167   0.02017982    0.2834061 
          132    0.2208129    0.4309981    0.4871036 
          133   0.05947453     1.894256    0.9143412 
          134   0.02218288     1.598921     0.993837 
          135     0.156309     1.914573    0.6350455 
          136    0.1296827     1.019415    0.6519585 
          137     0.104707     1.892967   0.07472466 
          138   0.01515718    0.3647567   0.03561251 
          139  -0.03321564    0.1525178    0.1811383 
          140   0.09922894    0.9136937    0.1633265 
          141    0.2159691    0.4639234    0.4807001 
          142   0.01917201     1.009181    0.9283806 
          143     0.199025    0.9104035    0.2521283 
          144    0.2414035     0.352999    0.4422305 
          145    0.1769997    0.2934515    0.6081522 
          146   0.02115476    0.5720438    0.9604962 
          147    0.1113265     1.568784     0.174063 
          148    0.1664183     1.730469    0.6192688 
          149    0.1119406     1.891297    0.1409023 
          150  0.001133469    0.1597041     0.945267 
          151   0.02362476    0.6510338   0.09237511 
          152   0.07873031    0.1816696    0.3752901 
          153   0.08615948    0.2752925    0.6654464 
          154    0.1301648     1.321849    0.6333549 
          155    0.2035785    0.8002797    0.5794876 
          156    0.1727469    0.8667952    0.5728073 
          157  0.004131166    0.3234414    0.1890853 
          158   0.05847505     0.739015    0.7419209 
          159  0.001511522   0.01287207    0.6919863 
          160    0.1420013     1.504221    0.6402918 
          161    0.1199383     1.925712    0.7245131 
          162   0.03616515    0.4165212    0.7260571 
          163     0.107952     1.858045    0.1110899 
          164   0.05606156      1.40705    0.1010597 
          165    0.2160941     0.921915    0.2619201 
          166    0.2275402    0.6699439    0.2523672 
          167   0.08366143     1.843195    0.8350842 
          168   0.09724221     1.376935    0.7797338 
          169     0.109237    0.6668577     0.191021 
          170    0.1122056     1.493898    0.7682313 
          171   0.04757275     1.058208     0.126213 
          172    0.1624054     1.554696    0.6242953 
          173    0.2109466     1.480113    0.3942375 
          174    0.1234375     0.539466    0.6490627 
          175    0.1634544     1.325194    0.6202208 
          176    0.1332733    0.9555135    0.2077576 
          177    0.1758416     1.456665    0.5691563 
          178    0.1151776     0.728492    0.6642429 
          179    0.1676007     1.686278    0.3034186 
          180   0.02577221    0.9520107    0.9380981 
          181    0.2262801     1.029527    0.5422929 
          182   0.04591367     1.301314  0.007143587 
          183   0.06622771     1.802071   0.06869594 
          184    0.2220729     1.101747    0.4889177 
          185  -0.01377657    0.2023567    0.8530668 
          186    0.2890446    0.7318283    0.3606404 
          187    0.1408678    0.9409403    0.6596306 
          188   0.01280119   0.09119584     0.613395 
          189   0.09731241      1.38412    0.7856717 
          190  0.004257203  0.004449594    0.3771554 
          191   0.01972897    0.6168288    0.7698908 
          192 -0.004143661   0.03739943    0.9289854 
          193   0.08120628     1.887948     0.829996 
          194  -0.01364657     0.218277   0.09007305 
          195   0.03543526     1.418336   0.05206513 
          196    0.0104033    0.4674619    0.7814409 
          197    0.2034663    0.5987987    0.5008587 
          198    0.1065325     1.053072    0.8360537 
          199    0.2238033    0.8762956    0.2792669 
          200    0.1261437     1.511652    0.1736018 
;
